Age,Race,Gender,Num_Prior_Offenses,Months_Since_Last_Offense,Reoffend
54,Hispanic,0,5,13,0
44,Black,0,1,55,0
30,Asian,1,2,49,0
58,Black,0,10,13,0
23,Black,1,6,31,1
36,White,0,10,59,0
54,White,0,3,19,0
34,Black,1,9,29,0
38,White,1,6,22,0
26,White,1,8,41,0
26,Asian,0,4,21,0
39,White,1,0,16,0
51,Black,1,4,30,0
55,Black,0,5,5,1
39,Other,0,10,41,0
18,Black,0,1,60,0
37,White,1,7,41,0
17,Black,0,1,6,0
39,Hispanic,1,8,21,0
59,Other,1,1,42,0
45,Black,1,2,50,0
53,White,1,7,11,0
17,Hispanic,0,10,24,1
36,White,0,5,28,0
48,Black,1,0,56,0
27,Black,1,3,15,0
37,White,0,4,39,0
59,White,0,10,46,0
40,White,1,2,40,0
64,Asian,1,0,51,0
42,Hispanic,1,2,47,0
57,White,1,8,19,0
43,Hispanic,1,1,50,0
31,White,0,0,17,0
30,Black,1,6,3,0
62,White,0,6,3,0
59,Hispanic,1,4,39,0
18,Asian,0,1,28,0
52,Asian,1,0,31,0
22,Hispanic,0,4,42,0
36,Black,0,9,57,0
24,Other,1,3,60,0
54,Asian,1,8,49,0
33,Hispanic,0,4,47,0
19,Black,0,10,8,1
40,White,0,9,17,0
29,Black,1,1,35,0
65,White,0,3,36,0
24,Black,1,8,27,1
41,Black,1,7,40,1
17,Black,1,2,45,0
35,White,1,7,33,0
43,White,1,1,60,0
62,Black,1,2,50,0
22,Other,0,4,11,1
59,White,0,10,21,0
23,Black,1,9,6,0
62,Asian,0,9,48,0
50,Black,0,7,21,0
29,White,1,0,51,0
32,Black,0,3,58,0
51,White,1,0,55,0
65,Other,1,0,28,0
55,White,1,4,17,0
19,White,1,5,18,0
17,White,0,0,11,0
21,White,0,10,46,0
57,Asian,1,5,44,0
19,White,0,4,25,0
44,White,1,3,30,0
33,Black,1,9,52,0
41,White,0,4,56,0
59,White,0,7,25,0
49,Hispanic,1,8,7,1
25,Asian,0,10,49,1
51,Hispanic,1,1,37,0
29,Hispanic,1,5,54,0
46,Asian,0,2,46,0
63,White,1,1,27,0
30,Asian,0,0,56,0
23,Hispanic,1,3,26,0
29,Asian,1,7,13,1
38,Black,1,2,24,0
55,White,1,4,12,0
36,Hispanic,1,9,14,0
31,Asian,0,4,57,0
60,Other,1,4,9,0
33,White,0,10,31,1
62,White,0,8,4,0
39,White,0,7,54,1
41,Asian,1,7,19,0
40,White,0,0,1,0
60,White,0,0,29,0
56,Other,0,1,45,0
44,White,1,7,6,0
30,Hispanic,1,9,1,0
60,White,1,0,25,0
16,Hispanic,1,3,27,0
40,Black,0,8,22,0
22,Hispanic,1,1,17,0
24,Hispanic,0,2,59,0
39,White,1,10,29,1
16,White,0,5,3,0
59,White,1,10,17,1
23,Asian,1,9,2,0
39,Hispanic,1,2,32,0
26,Black,1,3,22,0
32,Black,0,8,39,1
23,White,1,8,33,1
50,Hispanic,1,9,58,0
50,Other,1,4,53,0
48,White,0,6,22,0
20,Black,1,8,47,1
57,White,1,7,4,0
54,Black,0,10,38,1
56,Black,0,6,53,0
43,White,0,7,13,0
22,Black,1,4,59,0
24,White,0,4,23,1
23,Black,1,4,13,0
27,Black,0,0,20,1
49,White,1,5,33,0
48,Asian,0,4,34,0
63,Asian,0,7,38,0
38,White,0,7,29,0
39,White,1,1,58,0
52,Asian,0,10,32,1
50,Other,1,5,11,0
59,White,0,10,18,0
55,White,0,9,45,0
37,White,0,9,21,0
42,Black,1,5,12,0
50,White,1,2,52,0
16,White,1,0,39,0
50,Asian,0,6,20,0
52,Black,1,9,7,0
62,White,1,4,27,0
29,Black,0,9,56,1
18,Black,0,4,7,1
16,White,1,10,2,0
20,White,1,7,43,0
41,Hispanic,0,4,33,0
29,White,1,4,21,0
54,Asian,0,0,29,0
42,Hispanic,0,1,32,0
24,White,1,4,45,0
30,White,1,6,12,0
30,Black,0,2,13,0
41,Hispanic,1,0,39,0
57,Hispanic,0,10,44,1
28,Asian,1,1,49,0
47,White,0,2,59,0
54,Asian,1,8,40,0
64,Black,1,7,3,0
47,Black,0,3,39,0
19,White,1,7,51,0
45,White,0,8,52,0
52,Asian,1,2,8,0
