Age,Race,Gender,Num_Prior_Offenses,Months_Since_Last_Offense,Reoffend
22,Asian,Female,10,50,1
22,Black,Female,7,13,1
55,White,Male,1,31,0
40,White,Female,8,51,1
45,Black,Female,7,14,0
46,Hispanic,Female,7,17,0
51,Asian,Female,5,56,0
17,Black,Female,1,53,1
40,Asian,Female,4,57,0
23,Black,Male,7,8,1
36,Hispanic,Male,7,53,0
62,Asian,Female,9,37,1
43,White,Male,4,41,0
19,Asian,Female,9,33,1
43,Hispanic,Female,6,3,1
22,Hispanic,Female,8,20,1
53,Black,Male,9,31,1
63,White,Male,4,21,0
64,Black,Female,4,8,0
47,White,Female,6,49,1
59,Black,Female,10,10,1
34,Asian,Male,1,27,0
23,Black,Female,6,56,0
41,Asian,Male,10,6,1
38,Asian,Female,6,32,0
49,Black,Male,6,25,1
65,White,Female,4,12,0
29,Asian,Male,4,24,1
58,Black,Male,10,20,0
22,Asian,Male,10,12,1
33,White,Female,5,11,0
55,Hispanic,Female,3,41,0
28,White,Male,7,42,0
49,Black,Female,10,4,0
38,Black,Female,6,24,0
41,Black,Male,5,1,1
63,Asian,Female,6,15,0
56,White,Female,5,12,0
57,White,Male,5,43,0
43,White,Female,1,34,0
65,Black,Female,2,41,0
65,Asian,Male,7,23,1
22,White,Female,10,59,1
26,Black,Male,9,56,1
31,Black,Female,1,27,0
43,White,Male,8,43,1
57,Black,Female,7,27,0
40,Asian,Male,8,13,1
65,White,Male,10,42,1
33,Hispanic,Male,9,1,1
62,Other,Male,5,27,0
45,Hispanic,Female,3,40,0
52,White,Male,10,44,1
27,White,Female,3,49,0
45,Black,Male,2,51,0
56,Hispanic,Female,3,31,0
60,White,Female,1,56,0
59,White,Male,4,21,0
64,Asian,Female,6,35,0
22,White,Female,6,29,1
54,White,Male,7,19,1
39,Other,Male,1,21,0
50,Black,Male,8,59,1
29,Asian,Female,4,9,1
16,White,Male,3,7,1
20,White,Male,2,11,1
64,White,Female,2,10,1
60,White,Female,9,36,1
31,White,Female,4,45,1
37,White,Male,7,27,1
28,Asian,Female,3,18,0
23,White,Male,3,53,1
58,Hispanic,Female,8,59,1
49,White,Female,3,33,1
19,White,Male,7,34,1
26,White,Male,2,2,1
44,Black,Female,2,14,0
61,Black,Male,7,53,0
65,Black,Female,1,29,0
26,White,Female,4,47,1
46,White,Male,2,32,0
17,Asian,Male,4,43,0
24,White,Female,3,42,0
26,Asian,Female,2,21,0
38,Black,Male,3,6,0
33,White,Male,2,42,0
52,Asian,Male,1,45,0
39,Black,Male,8,46,0
32,Black,Male,7,43,1
61,White,Female,10,30,1
47,Black,Male,4,51,0
50,Black,Male,10,58,1
53,Black,Male,9,23,1
32,White,Female,7,29,1
60,White,Female,9,36,0
16,Black,Male,9,26,1
31,Asian,Female,1,29,0
23,Black,Female,5,39,1
16,White,Female,5,6,0
65,White,Male,9,50,0
20,White,Female,1,45,0
38,White,Male,5,57,0
56,White,Male,8,43,1
50,Black,Male,7,8,1
58,White,Male,3,42,0
18,Black,Female,8,35,1
40,Hispanic,Female,6,16,0
17,White,Female,1,28,0
25,Asian,Female,2,3,0
58,White,Female,9,40,1
19,White,Female,5,46,0
45,Hispanic,Female,9,29,1
17,Asian,Male,4,6,0
31,Asian,Female,10,12,1
62,Hispanic,Female,4,28,0
31,Hispanic,Female,3,34,0
31,Hispanic,Female,8,31,1
20,Asian,Female,8,41,1
54,Hispanic,Female,5,16,1
24,White,Male,6,18,1
40,Black,Female,10,56,1
17,White,Female,5,30,1
17,White,Male,4,1,0
57,White,Male,8,18,0
16,White,Male,5,42,1
39,Black,Female,6,3,1
37,Black,Male,4,11,1
22,White,Female,8,20,1
48,Black,Male,8,52,1
52,White,Male,10,27,1
65,Asian,Female,7,3,1
25,Asian,Male,3,39,0
62,Other,Male,5,39,1
19,Other,Female,2,34,1
23,Black,Female,2,45,1
45,White,Female,2,15,0
59,Black,Male,10,1,1
60,White,Female,10,16,1
52,Black,Male,5,21,0
17,Asian,Male,5,42,1
36,Asian,Female,6,8,1
56,Black,Male,6,18,1
42,White,Male,9,4,1
25,White,Male,5,52,0
50,Hispanic,Male,8,44,1
20,Hispanic,Female,10,29,1
50,Black,Female,8,3,1
16,Hispanic,Male,4,32,0
34,White,Male,7,6,1
30,Asian,Female,3,22,0
62,White,Female,1,51,0
52,Hispanic,Male,8,21,1
48,Black,Male,1,23,0
40,Black,Male,10,26,0
30,White,Female,6,7,1
58,Black,Female,8,19,1
63,Hispanic,Male,2,3,1
26,Other,Female,3,38,0
28,White,Male,5,3,1
31,Hispanic,Male,9,5,1
39,Other,Female,1,17,0
28,Black,Male,8,19,1
36,Black,Female,7,15,1
64,Hispanic,Female,5,49,1
34,Asian,Male,10,21,1
63,Black,Female,9,3,1
41,Hispanic,Female,8,42,1
33,Black,Female,10,23,1
62,Asian,Female,9,8,1
37,Hispanic,Female,2,8,0
54,White,Male,4,5,1
31,Hispanic,Female,7,7,1
65,White,Male,8,14,1
53,Black,Female,2,10,0
59,Asian,Female,2,4,0
18,Hispanic,Male,10,55,1
21,White,Male,6,15,1
19,Other,Female,7,8,1
42,Asian,Female,5,7,0
36,Hispanic,Male,1,50,0
64,White,Female,9,29,1
28,Black,Male,5,54,0
24,Black,Female,10,26,1
58,Other,Female,10,30,1
31,Hispanic,Male,1,29,0
53,White,Male,4,14,0
30,Hispanic,Male,4,47,1
43,White,Female,10,31,1
20,Black,Male,6,7,1
49,White,Female,6,57,1
61,Black,Female,8,15,1
50,Hispanic,Male,3,55,0
59,Black,Male,5,36,1
55,White,Male,7,3,1
44,Hispanic,Female,6,27,0
62,Black,Male,1,12,0
39,White,Female,6,60,1
23,Asian,Male,8,51,0
43,White,Female,7,44,1
47,Black,Female,9,37,1
24,Black,Female,1,42,0
23,White,Male,9,54,1
49,Black,Female,10,47,1
38,White,Female,9,32,1
40,Black,Male,6,28,1
55,Black,Male,4,22,0
50,Black,Female,4,48,1
60,White,Female,2,27,0
24,Black,Female,2,46,0
53,Hispanic,Male,5,21,0
43,Hispanic,Female,6,32,1
17,Black,Female,4,37,1
19,Asian,Female,4,14,1
33,White,Male,5,27,0
47,Asian,Female,7,56,0
24,White,Female,9,9,1
43,White,Female,4,33,0
65,Asian,Female,1,46,0
23,White,Female,2,37,0
23,Black,Female,10,7,1
64,White,Male,3,13,0
28,White,Female,1,39,0
59,White,Female,7,34,1
33,Hispanic,Male,3,49,0
53,White,Male,1,30,0
19,Hispanic,Female,5,38,0
47,White,Female,4,39,1
59,White,Male,10,52,1
32,Asian,Female,9,9,1
47,Black,Male,7,24,0
26,White,Male,4,17,0
23,White,Male,5,28,0
16,White,Female,6,7,0
40,White,Female,4,58,1
42,White,Male,2,39,0
19,Black,Male,9,6,1
27,Asian,Female,3,43,0
46,White,Male,8,24,0
34,Asian,Male,2,44,0
27,Hispanic,Female,9,47,1
16,White,Female,5,22,0
17,Asian,Male,8,46,0
47,Black,Female,1,16,0
21,White,Male,5,47,1
58,Black,Male,1,24,0
43,White,Female,4,13,0
28,Asian,Male,10,44,1
47,Black,Female,8,58,1
24,White,Male,8,51,1
32,White,Female,1,1,0
40,Hispanic,Male,8,56,1
48,Asian,Male,7,13,0
22,White,Male,5,17,1
33,Asian,Female,8,33,0
20,White,Female,6,46,0
22,Black,Female,2,41,0
27,White,Male,4,13,0
31,Hispanic,Male,5,45,0
61,Black,Male,7,8,1
35,Asian,Male,4,1,1
21,White,Male,10,53,1
61,White,Female,3,13,0
44,White,Female,8,51,1
21,Hispanic,Female,4,3,1
20,White,Female,6,53,1
20,Black,Female,4,10,1
61,White,Male,2,23,0
44,White,Male,1,8,0
50,White,Female,6,26,0
64,White,Male,4,59,0
36,White,Female,7,17,1
61,Hispanic,Male,6,37,1
36,Black,Female,6,29,0
51,White,Male,6,50,1
57,White,Female,5,43,0
19,Black,Male,4,13,0
52,Hispanic,Female,2,44,0
56,White,Female,3,47,0
64,Black,Female,2,17,0
50,White,Male,2,14,0
40,Other,Female,4,50,0
23,White,Female,8,40,1
54,White,Male,9,45,1
39,Black,Male,3,35,0
56,White,Male,3,11,1
18,Hispanic,Female,4,12,0
33,Asian,Male,7,36,1
56,Asian,Male,3,11,0
46,Other,Male,9,29,1
51,Black,Male,3,50,0
45,White,Male,2,40,1
56,White,Male,10,28,1
57,White,Female,1,4,0
54,White,Male,8,25,0
49,White,Male,7,58,1
29,White,Male,7,38,0
19,White,Female,9,47,1
55,Black,Female,9,28,0
33,White,Female,1,35,0
28,Hispanic,Male,1,58,0
16,White,Female,7,33,0
22,White,Male,4,22,1
17,Black,Male,1,38,0
35,Hispanic,Male,3,10,1
30,Asian,Female,4,30,1
40,Hispanic,Female,7,23,1
44,Black,Male,3,54,1
30,White,Female,3,48,1
42,White,Male,4,60,0
46,Hispanic,Male,2,14,0
49,Black,Female,8,7,1
46,Hispanic,Male,3,29,0
17,Hispanic,Male,3,16,0
27,Asian,Female,10,25,1
55,Asian,Female,1,34,0
47,White,Female,7,22,1
30,Hispanic,Male,7,19,1
33,Hispanic,Female,2,16,0
62,Black,Male,5,13,0
52,Black,Male,1,10,0
34,Black,Female,10,20,1
30,Black,Male,7,21,1
22,White,Female,8,45,1
55,Hispanic,Male,9,27,1
47,White,Female,1,54,0
36,White,Male,1,42,0
50,Black,Female,10,59,1
43,White,Female,10,51,1
42,Other,Female,1,3,0
49,Hispanic,Female,2,33,0
54,Asian,Male,9,15,1
41,White,Female,3,8,0
36,Hispanic,Female,4,54,0
28,White,Male,4,52,0
31,Black,Female,3,5,0
64,White,Male,4,43,0
25,Asian,Female,1,19,0
20,Asian,Male,8,14,1
46,White,Female,1,21,0
32,White,Male,8,22,1
20,Hispanic,Female,1,39,0
43,Hispanic,Male,2,47,1
53,White,Male,1,23,0
17,Other,Female,6,57,1
40,Black,Male,8,35,1
23,White,Female,7,22,0
44,Black,Male,9,41,0
55,White,Female,10,54,1
56,Black,Male,10,48,1
55,Black,Male,3,4,0
30,Black,Female,7,42,1
47,White,Male,7,59,1
48,Asian,Female,9,58,1
61,Black,Male,10,23,0
50,White,Male,4,15,1
53,Hispanic,Male,4,26,0
20,Black,Female,8,44,1
30,White,Female,9,12,0
34,Black,Female,4,57,0
48,Asian,Female,2,2,1
59,Black,Female,9,3,1
33,White,Female,10,44,1
40,Asian,Female,1,14,0
53,Black,Male,9,11,1
25,White,Female,6,22,0
35,White,Female,3,38,1
25,Hispanic,Male,9,45,1
23,White,Female,10,38,1
50,Black,Female,3,55,0
59,White,Male,10,48,1
23,White,Male,10,11,1
50,White,Male,8,28,1
50,White,Female,5,4,0
53,White,Female,9,12,0
51,White,Male,8,34,1
43,Asian,Female,4,57,0
21,White,Female,9,51,0
55,Black,Male,6,24,0
25,Black,Male,3,45,0
38,Black,Male,8,25,0
63,Hispanic,Female,7,36,1
44,Asian,Male,3,17,1
30,Hispanic,Male,3,59,0
19,White,Male,4,24,0
28,Other,Female,2,51,0
43,Other,Female,5,35,0
58,Asian,Female,10,57,1
56,Hispanic,Female,3,20,1
26,White,Female,7,27,1
51,Other,Male,6,45,0
48,White,Male,6,28,0
56,Asian,Female,9,43,1
40,White,Female,1,57,0
40,Asian,Female,5,28,1
36,Black,Male,2,33,0
60,Black,Male,2,37,0
42,White,Female,1,31,0
21,Black,Female,1,21,0
41,White,Female,7,51,0
59,White,Male,9,33,1
57,Other,Male,5,17,1
34,White,Female,4,19,0
60,Hispanic,Female,8,31,1
20,Black,Male,6,34,1
53,Hispanic,Male,4,42,0
46,Asian,Female,7,56,1
16,Hispanic,Female,10,37,1
38,Asian,Male,3,31,0
35,Black,Female,10,2,1
37,Hispanic,Female,1,35,0
28,Asian,Male,1,54,0
58,Hispanic,Male,9,27,1
57,Asian,Female,2,30,1
22,Black,Male,10,30,1
54,White,Female,10,33,0
46,White,Female,1,22,0
25,Hispanic,Female,4,44,0
36,White,Male,3,53,0
29,White,Male,2,59,0
42,Other,Male,6,1,1
22,Asian,Male,4,57,0
40,White,Female,8,20,1
21,Asian,Female,6,53,0
22,Black,Male,4,26,1
58,White,Female,2,51,0
41,Hispanic,Male,5,19,1
30,White,Female,2,25,1
59,Hispanic,Female,9,48,1
32,Black,Female,1,44,0
24,Black,Male,10,53,1
60,Black,Female,2,55,0
16,Black,Male,6,57,0
63,Hispanic,Male,3,19,0
19,White,Male,10,60,1
56,Other,Female,8,28,1
38,Black,Female,6,23,1
22,Hispanic,Female,10,20,1
64,White,Female,5,4,1
37,White,Female,4,18,0
18,White,Male,8,48,0
52,Hispanic,Female,1,16,0
65,Black,Male,3,4,0
23,Asian,Male,4,52,0
42,Asian,Female,5,56,0
62,White,Female,9,47,1
22,Black,Female,1,18,1
55,White,Male,9,6,1
36,Black,Male,5,17,1
18,White,Male,8,48,0
26,Asian,Female,4,20,0
58,Black,Female,4,30,1
51,Black,Female,6,13,1
60,Black,Female,7,8,1
43,Black,Male,3,52,0
22,Black,Female,9,51,0
30,White,Female,5,16,0
30,Other,Female,2,34,0
28,Black,Male,8,9,1
20,White,Male,5,29,1
59,White,Female,4,4,1
20,Asian,Female,1,9,0
54,Black,Male,6,39,1
51,Black,Male,7,45,1
37,Black,Male,6,4,1
47,Asian,Male,2,49,0
36,Other,Male,5,44,0
42,White,Male,9,18,1
52,Hispanic,Female,10,50,1
38,Black,Male,5,32,1
64,Black,Male,8,4,1
57,Black,Female,7,29,1
19,Black,Female,1,25,0
61,White,Male,3,49,0
23,Asian,Male,3,22,0
26,Black,Female,6,33,0
