Age,Gender,Num_Prior_Offenses,Months_Since_Last_Offense,Reoffend,Means_Of_Transportation
59,1,9,8,1,motorcycle
38,1,1,7,0,bus
35,1,10,56,0,motorcycle
44,1,6,46,0,car
57,0,1,45,0,bus
61,1,4,54,1,motorcycle
30,1,5,4,0,car
28,1,7,34,1,bicycle
42,1,5,26,1,bicycle
45,0,1,52,0,motorcycle
28,1,4,56,0,car
33,0,4,18,0,bicycle
62,1,7,48,0,bus
53,1,4,17,0,car
58,1,7,30,0,car
43,0,8,7,1,bicycle
34,0,4,24,1,motorcycle
26,0,3,60,0,bicycle
49,0,9,25,1,car
41,1,9,53,0,bicycle
36,0,4,22,0,bicycle
28,1,9,45,1,car
41,0,5,30,0,motorcycle
18,0,8,14,1,bicycle
18,0,4,4,1,car
21,1,5,26,1,car
58,1,4,45,0,car
33,0,4,56,0,bus
22,0,5,23,1,car
16,0,4,50,0,car
63,1,8,16,0,car
54,1,4,39,0,motorcycle
23,1,7,10,0,bicycle
56,1,5,10,0,car
44,0,2,9,0,motorcycle
17,0,1,23,0,car
22,1,10,8,1,car
42,1,5,35,1,motorcycle
51,1,4,7,0,bus
37,1,7,9,0,car
23,0,6,35,0,bus
36,1,1,44,0,bus
58,1,10,29,1,car
19,0,6,54,1,car
48,1,9,19,1,bus
63,1,3,20,0,motorcycle
47,0,3,22,0,car
30,1,4,10,0,car
27,1,6,13,1,car
62,1,4,27,0,car
49,1,1,15,0,car
36,0,1,13,0,car
21,0,10,59,0,bicycle
26,1,3,49,0,motorcycle
38,1,1,6,0,bus
28,1,8,55,1,car
28,0,7,2,1,bus
28,1,10,52,0,car
25,0,6,3,1,bicycle
56,1,8,50,1,bus
40,1,7,60,1,motorcycle
57,0,7,8,1,motorcycle
49,1,3,26,0,bus
56,0,8,7,1,motorcycle
49,0,2,58,0,car
29,0,4,37,0,car
30,0,2,27,0,car
30,1,6,16,0,car
26,1,2,27,0,car
42,1,7,46,0,Other
63,0,8,52,0,car
51,0,2,38,0,car
55,1,7,48,1,bicycle
51,0,1,60,0,motorcycle
33,1,9,11,1,bus
58,1,6,27,1,car
29,1,8,15,0,motorcycle
54,1,6,43,0,motorcycle
18,1,9,28,1,car
41,0,6,17,0,car
49,0,6,1,1,car
50,1,8,44,0,motorcycle
21,0,5,19,1,car
54,1,2,35,0,car
17,0,9,1,0,car
25,1,9,29,1,car
19,0,2,53,0,bicycle
64,1,1,36,0,car
41,1,10,5,0,car
42,1,8,58,0,motorcycle
39,0,4,48,1,car
47,1,9,34,0,motorcycle
26,0,8,2,1,car
49,1,2,8,0,motorcycle
37,0,1,8,0,bus
51,1,3,57,0,motorcycle
43,0,7,60,1,bus
20,1,2,34,0,car
38,1,1,41,0,Other
19,0,6,49,0,car
52,1,10,12,1,motorcycle
30,0,4,57,0,bicycle
65,0,3,37,0,Other
22,0,4,5,1,motorcycle
43,0,2,50,0,motorcycle
